tenure_in_months,number_of_referrals,total_revenue,contract,offer,online_security,premium_tech_support,device_protection_plan,customer_status
69,0,3247.66,Two Year,None,No Internet,No Internet,No Internet,Stayed
40,4,5092.2,Month-to-Month,None,No,No,Yes,Stayed
21,1,2460.22,Month-to-Month,None,No,Yes,Yes,Churned
19,0,2533.78,Month-to-Month,Offer D,Yes,No,No,Churned
18,1,1935.38,Month-to-Month,Offer D,Yes,No,Yes,Stayed
2,0,192.88,Month-to-Month,None,No,No,No,Churned
33,7,2016.3,Two Year,Offer C,Yes,Yes,Yes,Stayed
1,0,68.5,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
60,9,7390.35,One Year,Offer B,Yes,Yes,Yes,Stayed
72,6,9411.3,Two Year,None,No,Yes,Yes,Stayed
2,0,160.95,Month-to-Month,None,No,No,No,Churned
63,0,5669.11,Two Year,Offer B,Yes,Yes,Yes,Stayed
12,0,1381.9,Month-to-Month,Offer D,Yes,Yes,No,Stayed
31,0,4062.77,Month-to-Month,None,Yes,Yes,Yes,Stayed
71,6,8681.58,Two Year,Offer A,Yes,Yes,Yes,Stayed
50,9,5990.0,One Year,None,Yes,No,Yes,Stayed
54,0,2431.95,Two Year,Offer B,Yes,No,No,Stayed
1,0,86.24,Month-to-Month,None,No,Yes,No,Churned
11,0,596.51,Two Year,None,Yes,No,No,Stayed
44,1,4528.37,One Year,None,No,Yes,Yes,Stayed
62,8,9059.14,Two Year,None,No,Yes,Yes,Stayed
57,0,6995.81,One Year,Offer B,No,No,No,Stayed
18,1,1155.54,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
70,5,10025.7,Two Year,Offer A,No,Yes,Yes,Stayed
21,0,2514.61,Month-to-Month,None,No,No,No,Stayed
17,0,1466.41,Month-to-Month,None,No,No,No,Churned
42,3,4891.98,Month-to-Month,None,No,No,Yes,Stayed
21,7,2047.16,One Year,Offer D,No,Yes,Yes,Stayed
8,0,537.86,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
18,1,1026.6,Month-to-Month,None,No,No,Yes,Churned
2,0,222.39,Month-to-Month,None,No,No,Yes,Churned
51,0,3388.36,Two Year,None,No Internet,No Internet,No Internet,Stayed
21,6,2212.3,One Year,None,Yes,No,No,Stayed
55,1,3028.3,Month-to-Month,None,No,Yes,Yes,Churned
70,0,8544.3,Two Year,None,Yes,Yes,Yes,Stayed
31,0,1773.08,Month-to-Month,Offer C,No,Yes,Yes,Churned
67,0,3321.35,One Year,Offer A,Yes,Yes,Yes,Stayed
1,0,116.27,Month-to-Month,Offer E,No,No,No,Churned
21,0,743.41,Two Year,None,No Internet,No Internet,No Internet,Stayed
22,1,2260.42,Month-to-Month,None,No,No,No,Churned
11,0,951.95,Month-to-Month,None,No,No,No,Churned
72,1,4460.63,Two Year,None,No Internet,No Internet,No Internet,Stayed
34,6,1790.61,One Year,None,No Internet,No Internet,No Internet,Stayed
29,6,1343.93,One Year,Offer C,No Internet,No Internet,No Internet,Stayed
56,2,7178.85,One Year,None,No,No,No,Churned
5,7,403.75,Month-to-Month,None,Yes,Yes,No,Stayed
18,0,550.35,Month-to-Month,None,Yes,No,Yes,Stayed
20,4,1179.92,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
2,0,258.87,Month-to-Month,Offer E,No,No,No,Churned
45,0,5693.65,Two Year,None,No,No,Yes,Stayed
20,3,2723.25,One Year,None,No,Yes,No,Stayed
29,0,1539.77,One Year,Offer C,No Internet,No Internet,No Internet,Stayed
50,0,6446.7,Two Year,Offer B,No,Yes,No,Stayed
11,0,363.15,Month-to-Month,Offer D,No,No,No,Stayed
72,1,8566.1,Two Year,Offer A,Yes,Yes,Yes,Stayed
6,0,193.9,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
44,0,5630.03,Month-to-Month,None,No,No,Yes,Churned
72,1,6963.69,Two Year,None,Yes,Yes,Yes,Stayed
48,0,4644.5,Month-to-Month,None,Yes,Yes,No,Stayed
50,0,4816.1,Month-to-Month,Offer B,Yes,No,No,Stayed
1,0,24.75,Month-to-Month,None,No,No,No,Churned
36,7,2234.55,One Year,None,Yes,Yes,Yes,Stayed
7,9,424.21,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
26,0,3559.72,Month-to-Month,None,No,No,Yes,Churned
40,0,1139.25,Two Year,None,No Internet,No Internet,No Internet,Stayed
72,5,8080.25,Two Year,None,Yes,Yes,Yes,Stayed
63,5,5668.46,Two Year,None,No,Yes,Yes,Stayed
60,5,6137.8,One Year,Offer B,Yes,No,Yes,Stayed
47,1,1010.82,Two Year,None,No Internet,No Internet,No Internet,Stayed
1,0,40.35,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
25,0,2090.75,Month-to-Month,Offer C,Yes,Yes,No,Stayed
4,0,396.35,Month-to-Month,None,No,No,No,Stayed
1,0,96.59,Month-to-Month,None,No,No,No,Churned
37,1,1665.75,One Year,None,No Internet,No Internet,No Internet,Stayed
4,0,386.82,Month-to-Month,None,No,No,No,Churned
72,7,8515.77,Two Year,None,No,No,Yes,Stayed
67,2,8522.77,One Year,Offer A,No,No,Yes,Stayed
59,7,5889.13,One Year,None,No,Yes,No,Stayed
1,0,100.03,Month-to-Month,Offer E,No,No,No,Churned
43,9,6234.94,Month-to-Month,None,Yes,No,No,Stayed
1,1,48.18,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
4,0,515.48,Month-to-Month,None,No,No,No,Churned
9,1,720.2,Month-to-Month,Offer E,Yes,Yes,Yes,Churned
30,5,2875.9,Month-to-Month,Offer C,No,No,Yes,Stayed
13,0,834.0,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
30,1,978.95,Two Year,None,No Internet,No Internet,No Internet,Stayed
12,4,368.85,One Year,None,No,Yes,No,Stayed
63,8,6906.04,Two Year,None,Yes,Yes,Yes,Stayed
48,0,1742.63,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
71,1,8495.83,Two Year,Offer A,Yes,Yes,Yes,Stayed
61,10,2643.39,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
5,0,244.85,One Year,Offer E,No Internet,No Internet,No Internet,Stayed
46,1,2966.65,One Year,None,No,Yes,Yes,Churned
1,0,31.45,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
47,1,6164.81,One Year,Offer B,Yes,Yes,Yes,Churned
59,1,6595.94,One Year,Offer B,No,No,Yes,Churned
5,1,577.41,Month-to-Month,Offer E,No,No,No,Churned
26,0,1645.5,One Year,Offer C,No Internet,No Internet,No Internet,Stayed
40,0,3048.4,Month-to-Month,None,Yes,No,No,Stayed
1,0,113.48,Month-to-Month,Offer E,Yes,Yes,No,Churned
7,0,523.51,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Stayed
48,1,5342.83,One Year,Offer B,Yes,No,No,Churned
1,0,56.53,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
11,1,319.21,Month-to-Month,None,Yes,No,No,Stayed
8,0,174.8,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
38,0,5535.07,Month-to-Month,Offer C,No,Yes,No,Churned
34,1,2104.19,Month-to-Month,Offer C,No Internet,No Internet,No Internet,Stayed
19,3,989.7,Two Year,None,No Internet,No Internet,No Internet,Stayed
70,7,10167.59,Two Year,None,Yes,Yes,Yes,Stayed
1,1,90.6,Month-to-Month,Offer E,No,No,No,Churned
4,0,496.54,Month-to-Month,Offer E,No,No,No,Churned
51,0,1982.16,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
35,1,3074.0,One Year,Offer C,Yes,No,No,Stayed
30,0,3682.25,Month-to-Month,None,No,Yes,No,Stayed
8,4,822.79,Month-to-Month,Offer E,No,Yes,No,Stayed
4,1,99.95,Month-to-Month,None,No,No,No,Stayed
10,0,639.4,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
72,9,10502.46,One Year,None,Yes,Yes,Yes,Stayed
2,0,176.56,Month-to-Month,Offer E,No,No,No,Churned
23,0,2446.07,Month-to-Month,Offer D,No,No,No,Churned
50,2,7046.9,One Year,None,No,Yes,Yes,Stayed
71,2,2521.99,Two Year,None,No Internet,No Internet,No Internet,Stayed
10,0,1313.05,Month-to-Month,Offer D,No,No,No,Churned
30,0,3335.7,Month-to-Month,Offer C,No,No,No,Churned
29,1,3020.12,Month-to-Month,Offer C,No,No,No,Churned
20,0,1757.3,Month-to-Month,None,Yes,No,No,Churned
18,0,476.8,Month-to-Month,None,No,No,No,Stayed
32,6,4453.48,Month-to-Month,None,Yes,No,No,Stayed
72,6,2913.85,Two Year,None,No Internet,No Internet,No Internet,Stayed
72,8,8664.2,Two Year,None,No,No,Yes,Stayed
13,0,1343.04,Month-to-Month,None,No,No,Yes,Churned
8,0,1143.0,Month-to-Month,Offer E,No,No,Yes,Churned
25,0,2251.2,Month-to-Month,Offer C,No,No,No,Churned
22,0,2306.48,One Year,None,Yes,No,No,Stayed
42,10,2757.0,Two Year,None,No Internet,No Internet,No Internet,Stayed
61,0,2696.55,One Year,Offer B,Yes,Yes,Yes,Stayed
35,0,2849.0,One Year,None,No,Yes,No,Stayed
40,0,3714.5,Month-to-Month,Offer B,No,No,No,Stayed
1,0,124.83,Month-to-Month,None,No,No,No,Churned
72,3,7885.26,Two Year,None,Yes,Yes,Yes,Stayed
66,1,10139.93,One Year,None,Yes,Yes,No,Stayed
20,0,1102.65,Month-to-Month,Offer D,No,No,No,Stayed
16,1,2065.55,Month-to-Month,Offer D,No,No,No,Stayed
46,0,4763.78,Month-to-Month,None,No,No,No,Churned
72,5,9143.41,Two Year,Offer A,Yes,No,Yes,Stayed
19,0,714.32,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
29,1,3823.36,Month-to-Month,None,Yes,No,No,Churned
65,1,7874.7,One Year,None,No,No,Yes,Stayed
67,10,8597.1,Month-to-Month,None,Yes,No,No,Stayed
39,0,2124.42,Two Year,Offer C,No,Yes,No,Stayed
72,7,4727.76,Two Year,None,No Internet,No Internet,No Internet,Stayed
47,0,1875.25,Two Year,Offer B,Yes,Yes,Yes,Stayed
65,8,9023.8,One Year,Offer B,Yes,Yes,No,Stayed
56,0,7352.67,Two Year,None,No,No,Yes,Stayed
1,0,114.82,Month-to-Month,Offer E,No,No,No,Churned
37,1,3102.36,Month-to-Month,Offer C,No,No,No,Churned
1,0,86.68,Month-to-Month,Offer E,No,No,No,Churned
6,0,616.16,One Year,Offer E,No,No,No,Stayed
56,0,6125.84,Two Year,None,Yes,Yes,Yes,Stayed
40,5,3893.9,One Year,None,No,No,Yes,Stayed
5,8,491.95,Month-to-Month,Offer E,Yes,No,No,Stayed
70,0,8103.45,Two Year,Offer A,Yes,Yes,No,Churned
1,0,48.51,Month-to-Month,Offer E,No,No,No,Churned
58,1,3166.9,Two Year,Offer B,No,Yes,Yes,Stayed
13,0,1347.43,Month-to-Month,None,Yes,No,No,Stayed
10,0,579.3,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
66,0,8078.07,One Year,None,Yes,Yes,Yes,Stayed
56,3,7143.58,One Year,None,No,No,No,Stayed
1,0,100.78,Month-to-Month,None,No,No,No,Churned
71,1,3377.8,Two Year,Offer A,Yes,Yes,Yes,Stayed
56,0,6371.47,One Year,Offer B,Yes,Yes,No,Stayed
24,0,3018.26,Month-to-Month,None,No,No,No,Churned
1,0,66.77,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
55,7,5153.05,One Year,Offer B,Yes,Yes,No,Stayed
42,10,2173.69,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
42,10,4620.9,Month-to-Month,None,No,No,Yes,Stayed
14,0,419.96,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
10,1,362.6,One Year,None,No,No,No,Stayed
22,9,1126.96,Two Year,Offer D,No Internet,No Internet,No Internet,Stayed
32,1,2519.91,Month-to-Month,None,No,No,No,Churned
39,10,2209.21,Two Year,Offer C,No Internet,No Internet,No Internet,Stayed
57,0,7882.33,Two Year,Offer B,Yes,Yes,Yes,Stayed
8,0,1025.68,Month-to-Month,None,No,No,No,Stayed
63,0,5783.45,One Year,Offer B,Yes,Yes,Yes,Stayed
61,8,3751.15,Two Year,Offer B,No,Yes,Yes,Stayed
1,0,29.46,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
50,0,1897.5,One Year,None,No Internet,No Internet,No Internet,Stayed
11,1,539.69,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
35,1,1287.7,Two Year,None,No Internet,No Internet,No Internet,Stayed
1,0,41.74,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
72,7,9250.84,Two Year,None,Yes,Yes,Yes,Stayed
29,0,3471.17,Month-to-Month,None,No,Yes,No,Churned
29,0,2800.67,One Year,Offer C,No,No,Yes,Stayed
5,0,284.85,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
11,0,470.6,One Year,None,No,No,Yes,Churned
54,3,6386.3,One Year,None,No,Yes,No,Stayed
49,0,6625.48,One Year,None,No,No,Yes,Stayed
72,5,9895.73,Two Year,None,No,Yes,Yes,Stayed
9,1,956.28,Month-to-Month,None,No,No,Yes,Churned
1,0,95.77,Month-to-Month,None,No,No,No,Churned
31,0,3732.18,Month-to-Month,None,No,No,No,Churned
56,0,8527.45,One Year,Offer B,Yes,No,Yes,Churned
70,9,6445.6,Two Year,Offer A,Yes,No,Yes,Stayed
55,4,6283.02,Two Year,None,No,Yes,Yes,Stayed
3,0,331.74,Month-to-Month,None,No,No,No,Churned
5,3,638.15,Month-to-Month,Offer E,Yes,No,Yes,Churned
3,0,338.24,Month-to-Month,Offer E,No,No,No,Churned
26,6,2845.79,Two Year,Offer C,No,No,Yes,Stayed
25,0,1680.86,Month-to-Month,None,No,Yes,No,Stayed
15,0,1161.55,Month-to-Month,Offer D,No,Yes,No,Churned
31,4,1635.75,Month-to-Month,None,No,Yes,No,Stayed
1,0,55.14,Month-to-Month,None,No,No,No,Churned
18,0,1608.25,Month-to-Month,None,Yes,No,No,Stayed
13,0,1051.96,Month-to-Month,Offer D,Yes,No,No,Stayed
40,1,1989.3,Two Year,None,No Internet,No Internet,No Internet,Stayed
17,0,741.15,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
10,0,437.85,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
61,3,8348.29,One Year,None,No,No,Yes,Stayed
27,0,2528.03,Month-to-Month,None,No,Yes,Yes,Stayed
60,1,2288.7,Two Year,Offer B,Yes,Yes,No,Stayed
64,3,6789.94,One Year,Offer B,Yes,No,No,Stayed
28,0,2737.61,Month-to-Month,None,No,No,Yes,Stayed
11,1,499.41,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Churned
34,9,4863.16,Month-to-Month,None,No,No,No,Stayed
36,0,4155.97,Two Year,Offer C,No,No,No,Stayed
35,0,1701.65,Month-to-Month,Offer C,No,No,Yes,Stayed
22,0,722.06,Two Year,Offer D,No Internet,No Internet,No Internet,Stayed
4,0,588.48,Month-to-Month,None,No,No,No,Churned
4,1,397.86,Month-to-Month,None,No,No,No,Churned
43,5,2331.55,One Year,None,No Internet,No Internet,No Internet,Stayed
70,2,3647.26,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
15,0,1311.65,One Year,Offer D,Yes,Yes,Yes,Stayed
7,1,376.16,Month-to-Month,None,No,No,Yes,Churned
35,0,4885.45,Month-to-Month,Offer C,No,No,Yes,Churned
2,3,140.93,Month-to-Month,Offer E,No,No,No,Churned
29,0,593.05,One Year,Offer C,No Internet,No Internet,No Internet,Stayed
72,0,4464.8,Two Year,Offer A,Yes,Yes,Yes,Stayed
27,0,3024.03,Month-to-Month,None,No,No,No,Churned
71,0,6188.69,Two Year,None,Yes,Yes,Yes,Stayed
30,0,2485.2,One Year,None,Yes,Yes,Yes,Stayed
19,6,577.15,Month-to-Month,None,No,No,Yes,Stayed
56,1,3482.36,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
36,1,1174.01,One Year,None,No Internet,No Internet,No Internet,Stayed
57,3,3775.63,Month-to-Month,None,Yes,Yes,No,Stayed
52,0,7443.78,Month-to-Month,None,No,Yes,No,Stayed
17,0,382.8,Month-to-Month,None,No,No,No,Stayed
1,0,103.84,Month-to-Month,None,No,No,No,Churned
68,0,7840.76,Month-to-Month,None,No,No,Yes,Stayed
57,0,3326.41,Two Year,None,No Internet,No Internet,No Internet,Stayed
72,5,5728.88,Two Year,Offer A,Yes,No,No,Stayed
26,0,3261.54,Month-to-Month,None,No,Yes,Yes,Stayed
14,0,1569.02,Two Year,None,Yes,Yes,Yes,Stayed
30,0,4211.6,Month-to-Month,Offer C,No,No,Yes,Stayed
66,0,1983.15,One Year,None,No,Yes,No,Stayed
49,1,7074.43,Month-to-Month,Offer B,Yes,No,No,Stayed
15,10,1035.55,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
71,4,7030.37,Two Year,None,No,Yes,Yes,Stayed
39,0,1924.26,Two Year,None,No Internet,No Internet,No Internet,Stayed
67,2,3623.95,Two Year,None,Yes,Yes,Yes,Stayed
31,6,2423.24,Month-to-Month,None,No,Yes,Yes,Stayed
50,0,6936.15,Two Year,None,Yes,Yes,No,Churned
13,0,487.14,Two Year,Offer D,No Internet,No Internet,No Internet,Stayed
47,1,5124.18,One Year,Offer B,Yes,No,Yes,Stayed
10,0,295.25,Month-to-Month,Offer D,No,No,Yes,Churned
23,1,2374.95,Month-to-Month,None,No,No,Yes,Stayed
57,1,3430.52,One Year,None,No Internet,No Internet,No Internet,Stayed
56,9,7300.16,Month-to-Month,None,No,No,No,Stayed
10,0,440.25,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
30,1,2417.9,Month-to-Month,Offer C,Yes,Yes,No,Stayed
43,0,4024.43,Two Year,None,No,No,No,Stayed
54,0,5002.42,One Year,Offer B,Yes,Yes,No,Churned
9,10,720.4,Month-to-Month,None,No,Yes,No,Stayed
27,0,3061.64,Month-to-Month,None,No,No,Yes,Stayed
20,0,1024.85,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
7,1,564.35,Month-to-Month,Offer E,No,No,No,Churned
6,0,527.91,Month-to-Month,None,No,No,No,Churned
51,6,7029.35,One Year,None,Yes,Yes,No,Stayed
2,0,212.82,Month-to-Month,None,No,No,No,Churned
1,0,39.92,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
38,0,4141.83,One Year,None,Yes,No,Yes,Stayed
11,0,1015.45,Month-to-Month,None,No,No,No,Stayed
56,0,7760.48,One Year,None,No,No,Yes,Stayed
72,10,10270.75,Two Year,Offer A,Yes,Yes,Yes,Stayed
13,0,618.66,One Year,None,No Internet,No Internet,No Internet,Stayed
7,8,766.09,Month-to-Month,None,No,No,No,Stayed
51,7,2325.22,Two Year,None,No Internet,No Internet,No Internet,Stayed
29,5,1228.65,One Year,None,Yes,No,Yes,Stayed
1,0,89.93,Month-to-Month,Offer E,No,No,Yes,Churned
1,0,67.86,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
26,0,3198.21,One Year,None,Yes,Yes,No,Stayed
3,0,364.74,Month-to-Month,Offer E,No,No,Yes,Churned
1,0,118.17,Month-to-Month,None,No,No,No,Churned
67,3,9712.95,Two Year,Offer A,Yes,Yes,No,Stayed
65,3,9621.1,Month-to-Month,Offer B,Yes,No,Yes,Stayed
43,0,5100.47,One Year,None,Yes,Yes,No,Stayed
39,0,2011.4,Month-to-Month,Offer C,No,No,Yes,Churned
9,9,468.57,Two Year,None,No Internet,No Internet,No Internet,Stayed
30,1,2877.4,Month-to-Month,None,No,Yes,No,Stayed
32,3,3357.77,Month-to-Month,None,Yes,Yes,No,Stayed
25,1,2259.7,One Year,None,No,No,Yes,Stayed
13,0,397.18,Two Year,Offer D,No Internet,No Internet,No Internet,Stayed
67,1,4578.5,Two Year,Offer A,Yes,No,No,Stayed
66,3,8514.49,One Year,None,No,Yes,Yes,Stayed
4,8,395.66,Month-to-Month,None,Yes,No,No,Stayed
50,6,6501.2,One Year,Offer B,Yes,Yes,Yes,Stayed
60,0,3027.4,Month-to-Month,Offer B,No,No,No,Churned
64,0,8550.6,One Year,None,No,Yes,Yes,Stayed
59,0,3925.67,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
51,0,6491.61,Month-to-Month,Offer B,No,No,No,Stayed
1,0,71.71,Month-to-Month,None,No,No,No,Churned
10,0,1060.05,One Year,Offer D,No,Yes,No,Stayed
17,1,1264.41,Month-to-Month,None,Yes,Yes,No,Stayed
18,1,669.85,Month-to-Month,None,No,No,Yes,Churned
58,1,7767.97,Two Year,Offer B,Yes,No,Yes,Churned
59,10,8734.1,Two Year,Offer B,No,Yes,No,Stayed
24,0,2105.52,Month-to-Month,None,Yes,Yes,No,Stayed
47,1,3078.85,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
3,1,347.78,Month-to-Month,None,No,No,No,Churned
55,5,3241.85,Two Year,None,Yes,Yes,No,Stayed
43,1,5312.26,Month-to-Month,Offer B,No,Yes,Yes,Churned
1,0,92.12,Month-to-Month,Offer E,No,No,No,Churned
11,0,1219.43,Month-to-Month,None,Yes,No,No,Churned
60,0,3237.05,Two Year,None,Yes,No,Yes,Stayed
72,0,4671.7,Two Year,None,Yes,Yes,Yes,Stayed
69,5,3092.93,Two Year,None,No Internet,No Internet,No Internet,Stayed
29,7,3423.5,Two Year,Offer C,No,No,No,Stayed
71,9,9160.17,Two Year,Offer A,Yes,Yes,Yes,Stayed
48,4,6967.55,Month-to-Month,Offer B,No,Yes,No,Stayed
36,3,3655.89,Month-to-Month,None,No,No,No,Stayed
50,5,4349.7,One Year,Offer B,No,No,Yes,Stayed
31,0,1710.22,Two Year,None,No Internet,No Internet,No Internet,Stayed
63,0,2588.95,One Year,Offer B,Yes,Yes,No,Stayed
54,0,2514.05,Two Year,Offer B,No,Yes,Yes,Stayed
56,1,5736.47,One Year,Offer B,Yes,No,No,Stayed
43,6,4480.94,Two Year,None,Yes,Yes,No,Stayed
25,0,2946.05,Month-to-Month,None,Yes,Yes,Yes,Stayed
25,0,3813.75,Month-to-Month,Offer C,No,No,Yes,Churned
62,1,4681.62,Two Year,Offer B,Yes,No,Yes,Stayed
49,10,5069.91,Month-to-Month,Offer B,No,No,Yes,Stayed
8,0,226.45,Month-to-Month,Offer E,Yes,No,No,Stayed
1,1,80.88,Month-to-Month,None,No,No,No,Churned
72,4,8735.15,Two Year,Offer A,Yes,Yes,Yes,Stayed
63,6,4779.37,Two Year,Offer B,Yes,No,No,Stayed
54,0,6776.78,Month-to-Month,Offer B,No,No,Yes,Stayed
33,1,4840.13,One Year,Offer C,Yes,No,Yes,Churned
31,0,2366.55,Month-to-Month,None,No,Yes,No,Stayed
10,0,1284.25,Month-to-Month,Offer D,Yes,No,No,Churned
59,7,8945.48,One Year,Offer B,Yes,No,Yes,Stayed
9,0,1249.15,Month-to-Month,None,Yes,Yes,Yes,Stayed
10,0,401.4,Month-to-Month,None,No,Yes,No,Churned
1,0,37.56,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
4,0,198.69,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
38,0,5391.66,Two Year,None,No,No,No,Stayed
16,0,1821.17,Month-to-Month,None,No,No,No,Stayed
67,0,2338.19,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
20,0,724.35,Two Year,None,No Internet,No Internet,No Internet,Stayed
64,2,5913.47,Two Year,None,Yes,Yes,Yes,Stayed
28,1,3533.87,One Year,None,No,Yes,Yes,Stayed
71,3,9222.48,One Year,Offer A,Yes,Yes,Yes,Stayed
21,0,3001.91,One Year,None,No,Yes,Yes,Stayed
31,3,4213.29,One Year,Offer C,Yes,No,Yes,Stayed
37,6,3044.92,Month-to-Month,None,Yes,No,No,Stayed
68,1,8723.46,Two Year,None,Yes,No,Yes,Stayed
34,0,3696.96,Month-to-Month,None,No,No,No,Stayed
9,0,539.85,Month-to-Month,Offer E,Yes,Yes,Yes,Churned
28,6,2569.73,Month-to-Month,Offer C,No,No,No,Stayed
11,3,230.02,Two Year,Offer D,No Internet,No Internet,No Internet,Stayed
2,0,209.37,Month-to-Month,Offer E,No,No,Yes,Churned
17,0,902.74,One Year,None,No,No,No,Stayed
69,1,10221.85,Two Year,None,Yes,Yes,No,Stayed
37,8,3946.76,Two Year,Offer C,No,Yes,Yes,Stayed
4,0,102.5,Month-to-Month,Offer E,No,No,No,Churned
1,0,99.41,Month-to-Month,Offer E,No,No,No,Churned
72,2,10771.48,One Year,Offer A,No,Yes,Yes,Stayed
8,4,936.67,Month-to-Month,None,No,No,Yes,Stayed
49,1,1782.0,One Year,None,Yes,Yes,No,Stayed
27,0,1756.55,Two Year,None,No Internet,No Internet,No Internet,Stayed
4,0,290.44,Month-to-Month,None,No,Yes,No,Stayed
72,0,9405.72,Two Year,None,Yes,Yes,No,Stayed
67,0,9601.11,One Year,Offer A,No,No,Yes,Stayed
9,0,853.84,Month-to-Month,None,No,Yes,No,Churned
4,0,253.88,Month-to-Month,None,No,No,No,Churned
22,0,2317.95,Month-to-Month,Offer D,No,No,No,Stayed
48,0,5753.13,One Year,None,No,No,No,Stayed
47,0,3046.13,Two Year,None,No Internet,No Internet,No Internet,Stayed
66,5,7370.65,Two Year,Offer A,Yes,No,Yes,Stayed
37,0,1133.91,One Year,None,No Internet,No Internet,No Internet,Stayed
1,1,99.99,Month-to-Month,None,No,No,No,Churned
22,5,880.2,Month-to-Month,None,Yes,No,No,Churned
56,7,4410.24,Two Year,None,Yes,No,Yes,Stayed
72,0,10729.88,Two Year,Offer A,Yes,Yes,Yes,Stayed
10,0,1278.75,Month-to-Month,Offer D,No,Yes,No,Stayed
9,0,963.12,Month-to-Month,None,Yes,Yes,Yes,Stayed
35,0,1941.0,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
1,0,190.7,Month-to-Month,None,No,No,No,Churned
54,10,5817.79,Month-to-Month,None,No,No,No,Stayed
1,0,131.51,Month-to-Month,None,No,No,No,Churned
63,0,9607.75,Two Year,Offer B,No,No,Yes,Stayed
53,0,7039.29,One Year,Offer B,Yes,Yes,No,Stayed
1,0,84.75,Month-to-Month,Offer E,No,No,No,Churned
67,1,4431.56,One Year,None,Yes,Yes,No,Stayed
71,9,6809.17,Two Year,None,No,Yes,Yes,Stayed
42,5,4331.34,One Year,Offer B,Yes,No,No,Stayed
12,4,749.78,Two Year,None,No Internet,No Internet,No Internet,Stayed
57,10,7857.14,One Year,None,No,No,Yes,Stayed
35,5,3219.15,One Year,Offer C,No,Yes,No,Stayed
33,0,1113.95,One Year,None,Yes,Yes,No,Stayed
62,1,2498.01,One Year,None,No Internet,No Internet,No Internet,Stayed
25,0,2344.21,Month-to-Month,Offer C,Yes,No,No,Stayed
26,1,3295.21,Month-to-Month,None,No,Yes,No,Stayed
39,0,1281.3,Month-to-Month,None,No,No,Yes,Churned
34,0,3555.7,One Year,None,Yes,No,No,Stayed
49,4,5965.43,One Year,None,Yes,Yes,Yes,Stayed
19,0,733.35,Month-to-Month,None,No,No,Yes,Churned
17,0,1506.71,Month-to-Month,None,Yes,No,No,Stayed
53,0,7006.78,Month-to-Month,Offer B,No,Yes,No,Stayed
70,7,6409.25,Two Year,Offer A,Yes,Yes,No,Stayed
2,0,187.85,Month-to-Month,Offer E,No,Yes,No,Churned
28,0,3892.87,Month-to-Month,None,No,Yes,Yes,Stayed
27,0,1179.87,One Year,None,No Internet,No Internet,No Internet,Stayed
72,1,8278.2,Two Year,Offer A,No,No,Yes,Stayed
7,3,149.05,Month-to-Month,None,No,No,No,Stayed
31,4,2797.7,Two Year,Offer C,No,No,No,Stayed
33,1,3783.16,Month-to-Month,None,No,No,Yes,Churned
